day,GPP,R,NEP
2019-04-04,14.7625577132689,-23.7479428634213,-23.1455405218283
2019-04-05,10.5772096197422,-20.9478000548515,-20.3332085462414
2019-04-06,10.8498818938816,-21.040286391743,-20.1962210615371
2019-04-07,12.5148087082319,-24.0316784474647,-22.777363752123
2019-04-08,12.9557542552073,-26.5821194129705,-26.0850075497346
2019-04-09,16.0726466131734,-26.8755908791577,-23.3887704752982
2019-04-10,20.0444107742717,-30.6063776405534,-24.8888538722065
2019-04-11,24.4080887050743,-34.2768475568337,-25.9069690659317
2019-04-12,20.5480427339327,-36.9942202167102,-33.5182445423194
2019-04-13,19.5327433390935,-30.0657555764385,-24.3978650189729
2019-04-14,16.0423680762102,-32.4178766907373,-31.3425303280875
2019-04-15,24.9003508610737,-44.989648709531,-40.851398641163
2019-04-16,13.8843906628267,-25.3798507164184,-23.0316135490202
2019-04-17,19.5523868695368,-29.8045002151278,-23.7881312595708
